FODDER	SYNONYM
addiction	HABBIT
argument	TIFF
article	A
article	AN
article	THE
beautiful greek	ADONIS
bizarre	RUM
castle	FORT
chap	GENT
check	TEST
cheeky	PERT
chicked	HEN
clock	TIME
club	PUTTER
club	WOOD
company	FIRM
consume	EAT
contest	BOUT
corporation	GUT
crime	SIN
dark	DINGY
directors	BOARD
doing wrong	ERRING
enclousure	STY
facility	EASE
festering	SEPTIC
finished	ENDED
finished	OVER
former	EX
friend	BUD
friend	PAL
frugal person	MISER
genuine REAL
headquarters	BASE
hurried	RAN
info	GEN
inlet	RIA
kind	ILK
man	HE
metal	STEEL
miser	SAVER
model	POSE
odd	RUM
on loan	OUT
organise	RUN
oven	OAST
papers	ESSAYS
papers	ID
papers	THESES
papers	VISAS
parson	MINISTER
pay for	ATONE
petition	BEG
possesses	HAS
ramble	WALK
ruin	MAR
sea creature	CLAM
secure	PEN
service	MASS
shame	STIGMA
slip	LAPSE
snake	ADDER
snake	ASP
snake	BOA
song	TUNE
stands	RESTS
steeple	SPIRE
stop	BAR
strange	RUM
tell story	LIE
the man HE
titan	ATLAS
try	HEAR
underground	TUBE
usual	CUSTOM
was fond of	LIKED
write	PEN
